代码,名称,触发标签,优先级,所属板块及涨幅排名,量比,收盘价,次日开盘表现,次日收盘表现
688802,沐曦股份-U,放量|涨异动|突破|大阳,高,N/A,3.45,546.5,535.0,554.83
688795,摩尔线程-U,放量|涨异动|突破,高,N/A,1.77,395.58,397.99,410.0
000725,京东方A,放量|涨异动|突破|大阳,高,N/A,2.08,5.75,5.78,5.92
300489,光智科技,放量|涨异动|突破,高,N/A,1.79,223.6,227.0,224.62
688836,宇树科技-W,放量|涨异动|突破,高,N/A,1.74,503.26,496.01,514.98
600489,中金黄金,放量|跌异动|跌破|大阴,高,N/A,1.66,23.9,24.5,24.05
000338,潍柴动力,放量|涨异动|突破|长影线,高,N/A,1.65,26.65,27.2,27.23
603773,沃格光电,放量|涨异动|长影线|炸板,高,N/A,1.75,95.0,96.83,94.1
600641,先导基电,涨异动|大阳,中,N/A,1.38,36.8,37.64,37.3
603186,华正新材,跌异动|跌破|大阴,中,N/A,1.12,230.0,237.94,226.78
600547,山东黄金,跌异动|跌破|大阴,中,N/A,1.6,32.86,33.5,32.77
688519,南亚新材,跌异动|跌破,中,N/A,1.19,317.37,324.0,316.31
601872,招商轮船,涨异动|突破|大阳,中,N/A,0.97,21.85,21.61,22.36
002080,中材科技,涨异动|大阳|炸板,中,N/A,1.49,58.69,64.56,60.22
002487,大金重工,涨异动|大阳,中,N/A,1.3,41.21,40.8,39.6
600183,生益科技,跌异动|跌破|大阴,中,N/A,1.16,146.03,149.0,143.93
600988,赤峰黄金,跌异动|跌破|长影线,中,N/A,1.42,43.44,44.31,44.26
603629,利通电子,涨异动|长影线,中,N/A,1.46,113.85,116.0,113.6
002281,光迅科技,放量|涨异动,中,N/A,1.66,191.22,193.99,195.4
300319,麦捷科技,跌异动|跌破,中,N/A,0.96,21.01,21.4,21.56
688146,中船特气,跌异动|跌破,中,N/A,1.05,225.9,230.44,239.2
000938,紫光股份,跌异动|跌破,中,N/A,1.24,32.8,33.35,33.95
002579,中京电子,涨异动|长影线,中,N/A,1.0,20.48,20.29,19.89
301511,德福科技,跌异动|跌破,中,N/A,0.97,106.92,111.02,110.5
300476,胜宏科技,跌异动|跌破,中,N/A,1.23,222.9,228.66,227.05
300857,协创数据,涨异动|突破,中,N/A,1.29,266.98,271.78,267.89
603618,杭电股份,跌异动|跌破|长影线,中,N/A,0.94,38.63,39.3,39.91
002463,沪电股份,跌异动|跌破,中,N/A,1.07,123.48,126.2,123.5
300346,南大光电,放量|长影线,中,N/A,1.86,55.37,56.35,56.0
600498,烽火通信,涨异动|长影线,中,N/A,1.25,43.42,44.62,43.99
000823,超声电子,跌异动|长影线,中,N/A,0.82,24.22,24.42,23.38
600584,长电科技,跌异动|跌破|长影线,中,N/A,1.13,67.75,69.1,73.0
600172,黄河旋风,跌异动|跌破|长影线,中,N/A,0.81,16.06,16.21,16.0
002636,金安国纪,跌异动|跌破|长影线,中,N/A,0.78,79.4,80.34,80.86
002185,华天科技,跌异动|长影线,中,N/A,1.05,16.39,16.77,18.03
600150,中国船舶,涨异动|突破,中,N/A,0.9,38.96,38.6,39.47
000636,风华高科,跌异动|跌破|长影线,中,N/A,0.77,56.65,57.98,58.2
000592,平潭发展,跌异动|跌破|长影线,中,N/A,0.77,56.65,57.98,58.2
000100,TCL科技,放量|长影线,中,N/A,1.6,4.83,4.89,4.99
600869,远东股份,跌异动|长影线,中,N/A,0.88,21.3,21.73,21.41
003031,中瓷电子,放量|长影线,中,N/A,1.84,137.4,139.02,135.5
688361,中科飞测,涨异动,低,N/A,1.51,358.71,365.86,386.36
600487,亨通光电,涨异动,低,N/A,1.47,68.49,70.0,69.49
300570,太辰光,涨异动,低,N/A,1.35,215.98,223.77,229.35
601208,东材科技,跌异动,低,N/A,1.49,52.3,53.4,51.3
601899,紫金矿业,跌异动,低,N/A,1.32,30.9,31.5,31.41
600522,中天科技,涨异动,低,N/A,1.24,36.39,36.9,35.98
002491,通鼎互联,跌异动,低,N/A,1.26,23.67,24.05,23.78
600330,天通股份,跌异动,低,N/A,0.97,29.66,30.31,29.37
300394,天孚通信,涨异动,低,N/A,1.15,277.65,283.67,284.66
688521,芯原股份,涨异动,低,N/A,1.1,196.1,202.0,205.18
600206,有研新材,放量,低,N/A,1.6,50.55,51.66,51.6
600410,华胜天成,涨异动,低,N/A,1.08,16.28,16.28,16.52
603993,洛阳钼业,跌异动,低,N/A,1.14,17.35,17.57,17.51
600460,士兰微,长影线,低,N/A,1.48,31.99,32.5,32.77
688825,长鑫科技,跌异动,低,N/A,1.04,53.47,54.43,55.54
002436,兴森科技,跌异动,低,N/A,0.76,41.2,42.0,42.88
688008,澜起科技,跌异动,低,N/A,0.99,194.33,199.97,202.53
300285,国瓷材料,跌异动,低,N/A,0.79,66.11,67.6,67.16
301217,铜冠铜箔,长影线,低,N/A,0.99,111.85,115.01,113.29
