代码,名称,触发标签,优先级,所属板块及涨幅排名,量比,收盘价,次日开盘表现,次日收盘表现
688766,普冉股份,放量|涨异动|大阳,高,N/A,1.77,430.0,438.67,428.2
600584,长电科技,放量|涨异动|突破|大阳,高,N/A,1.95,73.0,73.1,72.22
300014,亿纬锂能,放量|涨异动|突破|长影线,高,N/A,2.06,51.56,51.21,49.97
002156,通富微电,放量|涨异动|大阳,高,N/A,1.87,61.38,61.9,61.18
002185,华天科技,涨异动|大阳,中,N/A,1.56,18.03,18.68,18.55
600127,金健米业,涨异动|突破|大阳,中,N/A,1.32,14.32,14.5,15.75
300223,君正股份,放量|涨异动,中,N/A,1.74,142.97,146.0,146.1
688347,华虹宏力,涨异动|突破,中,N/A,1.54,234.0,235.99,231.94
300475,香农芯创,涨异动|突破,中,N/A,1.44,174.32,177.18,183.2
300570,太辰光,涨异动|长影线,中,N/A,1.43,229.35,228.25,223.7
688146,中船特气,涨异动|突破,中,N/A,1.3,239.2,243.08,238.03
002008,大族激光,涨异动|大阳|长影线,中,N/A,1.45,99.6,99.67,96.55
603986,兆易创新,涨异动|突破,中,N/A,1.39,388.18,396.0,391.71
688041,海光信息,涨异动|突破,中,N/A,1.51,241.38,247.0,246.45
600176,中国巨石,跌异动|跌破,中,N/A,1.24,45.02,44.99,45.87
000100,TCL科技,放量|涨异动,中,N/A,1.68,4.99,4.98,5.08
002851,麦格米特,涨异动|突破,中,N/A,1.2,126.8,127.79,124.8
301308,江波龙,涨异动|突破,中,N/A,1.52,346.96,350.4,347.79
300274,阳光电源,涨异动|突破,中,N/A,1.41,87.89,87.9,88.47
688525,佰维存储,涨异动|突破,中,N/A,1.33,216.88,220.98,217.58
001309,德明利,涨异动|突破,中,N/A,1.26,413.09,421.0,415.0
002475,立讯精密,涨异动|突破,中,N/A,1.32,54.1,54.63,54.44
603083,剑桥科技,涨异动|突破,中,N/A,1.19,227.98,230.0,223.32
688825,长鑫科技,涨异动|突破,中,N/A,1.25,55.54,57.0,56.88
000938,紫光股份,涨异动|突破,中,N/A,1.3,33.95,34.0,33.84
300548,长芯博创,涨异动|长影线,中,N/A,1.13,238.8,242.0,243.99
000977,浪潮信息,涨异动|突破|长影线,中,N/A,1.2,71.88,72.01,71.85
688981,中芯国际,涨异动|突破,中,N/A,1.24,122.0,122.6,122.01
603618,杭电股份,涨异动|长影线,中,N/A,1.04,39.91,40.1,40.68
688432,有研硅,涨异动|长影线,中,N/A,1.04,56.82,56.97,54.59
600105,永鼎股份,涨异动|长影线,中,N/A,1.11,46.47,47.17,46.72
301511,德福科技,涨异动|突破|长影线,中,N/A,0.96,110.5,112.71,110.61
000823,超声电子,跌异动|跌破|长影线,中,N/A,0.91,23.38,23.26,25.2
301526,国际复材,跌异动|跌破,中,N/A,0.96,31.18,30.88,31.32
300394,天孚通信,涨异动|长影线,中,N/A,1.15,284.66,286.17,279.26
601869,长飞光纤,跌异动|跌破,中,N/A,1.05,454.99,460.0,458.99
000636,风华高科,涨异动|突破|长影线,中,N/A,0.84,58.2,60.77,59.25
000592,平潭发展,涨异动|突破|长影线,中,N/A,0.84,58.2,60.77,59.25
688361,中科飞测,涨异动,低,N/A,1.28,386.36,388.0,386.99
688313,仕佳光子,涨异动,低,N/A,1.27,170.38,175.07,171.5
300604,长川科技,涨异动,低,N/A,1.36,279.73,286.0,282.53
688521,芯原股份,涨异动,低,N/A,1.38,205.18,207.0,207.8
300502,新易盛,涨异动,低,N/A,1.22,445.0,455.04,456.73
000021,深科技,涨异动,低,N/A,1.42,36.95,37.33,37.22
688008,澜起科技,涨异动,低,N/A,1.35,202.53,210.0,210.1
688795,摩尔线程-U,涨异动,低,N/A,1.48,410.0,407.99,412.0
300666,江丰电子,涨异动,低,N/A,1.09,260.44,262.0,257.06
688048,长光华芯,涨异动,低,N/A,1.11,342.0,344.82,362.23
000725,京东方A,涨异动,低,N/A,1.59,5.92,6.0,6.07
002436,兴森科技,涨异动,低,N/A,1.03,42.88,43.33,44.33
300308,中际旭创,涨异动,低,N/A,1.21,926.43,939.5,941.0
688072,拓荆科技,涨异动,低,N/A,1.09,720.06,725.0,725.81
002371,北方华创,涨异动,低,N/A,1.28,686.51,688.0,676.61
002080,中材科技,涨异动|炸板,低,N/A,1.42,60.22,59.01,66.24
600460,士兰微,长影线,低,N/A,1.45,32.77,33.13,33.27
601138,工业富联,突破|长影线,低,N/A,1.46,62.71,63.99,63.6
688498,源杰科技,涨异动,低,N/A,1.22,1835.0,1850.0,1838.56
002487,大金重工,跌异动,低,N/A,0.85,39.6,39.01,39.7
603256,宏和科技,长影线,低,N/A,1.07,148.79,150.0,148.92
688802,沐曦股份-U,放量,低,N/A,1.69,554.83,551.0,564.0
