代码,名称,触发标签,优先级,所属板块及涨幅排名,量比,收盘价,次日开盘表现,次日收盘表现
000636,风华高科,放量|涨异动|大阳,高,,1.71,58.9,58.92,57.51
300454,深信服,放量|涨异动|突破|长影线,高,,1.73,134.26,136.0,134.99
300903,科翔股份,涨异动|大阳,中,,1.36,108.3,111.02,109.42
600186,莲花控股,涨异动|突破|大阳,中,,1.29,13.18,13.09,12.66
600172,黄河旋风,涨异动|突破|大阳,中,,1.23,16.53,16.58,16.36
603002,宏昌电子,涨异动|大阳|炸板,中,,1.52,18.81,18.46,18.81
002552,宝鼎科技,涨异动|突破|大阳|炸板,中,,1.42,54.0,53.95,54.2
603936,博敏电子,涨异动|大阳,中,,1.59,22.29,22.28,22.16
002579,中京电子,涨异动|大阳,中,,1.03,18.79,18.78,18.6
000823,超声电子,涨异动|大阳,中,,0.79,22.63,23.0,23.9
688195,腾景科技,跌异动|跌破,中,,1.14,181.34,181.0,178.91
300285,国瓷材料,涨异动|突破,中,,1.53,65.8,65.8,66.6
300759,康龙化成,涨异动|突破,中,,1.21,42.65,42.51,42.36
603259,药明康德,涨异动|突破|大阳,中,,1.33,158.86,157.1,156.67
002475,立讯精密,跌异动|跌破,中,,1.42,52.78,52.35,51.63
300308,中际旭创,跌异动|跌破,中,,1.08,873.0,873.38,864.01
002202,金风科技,涨异动|突破,中,,1.52,19.31,19.09,18.82
002815,崇达技术,涨异动|大阳,中,,1.11,21.12,21.12,21.66
002851,麦格米特,跌异动|跌破|大阴,中,,1.05,119.41,118.9,118.73
600967,内蒙一机,跌异动|长影线,中,,1.11,14.31,14.32,13.42
300502,新易盛,跌异动|跌破,中,,1.0,401.9,402.0,397.01
600127,金健米业,涨异动|突破,中,,1.02,14.17,14.12,12.75
002384,东山精密,跌异动|跌破,中,,0.86,185.11,185.82,182.82
688825,长鑫科技,跌异动|跌破,中,,1.02,54.49,54.49,54.22
601138,工业富联,跌异动|跌破,中,,1.0,61.57,61.25,60.8
000592,平潭发展,涨异动|突破,中,,0.84,8.1,7.87,7.92
600206,有研新材,涨异动|突破,中,,1.01,47.25,46.6,46.94
600667,太极实业,跌异动|跌破|长影线,中,,0.85,18.73,18.3,18.91
300857,协创数据,跌异动|跌破,中,,0.92,252.09,250.01,250.75
688521,芯原股份,跌异动|长影线,中,,0.96,179.24,178.61,185.0
603228,景旺电子,跌异动|跌破|长影线,中,,0.97,108.21,108.21,104.57
600869,远东股份,跌异动|长影线,中,,0.77,24.36,23.77,21.92
300475,香农芯创,跌异动|跌破|长影线,中,,0.77,161.38,161.38,161.67
600410,华胜天成,放量|长影线,中,,2.1,15.63,15.88,15.69
002297,博云新材,跌异动|长影线,中,,0.91,22.82,22.08,22.32
000988,华工科技,跌异动|跌破,中,,0.65,100.0,99.84,100.2
600487,亨通光电,跌异动|跌破|长影线,中,,0.7,63.2,61.9,62.42
002281,光迅科技,跌异动|长影线,中,,0.7,171.81,170.14,168.37
300179,四方达,涨异动,低,,1.06,43.36,43.01,41.78
603920,世运电路,涨异动,低,,1.51,43.42,42.8,42.45
688801,C燧原-U,涨异动,低,,,424.26,424.0,444.97
600664,哈药股份,涨异动,低,,0.98,7.3,7.26,7.12
688347,华虹宏力,跌异动,低,,1.06,210.72,213.15,214.6
603986,兆易创新,跌异动,低,,0.96,356.88,356.87,363.11
688008,澜起科技,跌异动,低,,0.97,184.65,183.21,187.83
688981,中芯国际,跌异动,低,,1.05,114.07,113.61,114.86
601869,长飞光纤,跌异动,低,,0.94,459.66,446.34,462.0
688041,海光信息,跌异动,低,,0.91,223.69,224.6,224.6
300757,罗博特科,跌异动,低,,1.0,612.3,612.27,601.18
001309,德明利,跌异动,低,,0.74,387.9,385.04,385.98
688432,有研硅,突破|长影线,低,,1.24,46.15,45.19,45.05
600105,永鼎股份,长影线,低,,1.01,41.18,40.0,41.11
688012,中微公司,跌异动,低,,0.83,324.64,323.44,330.6
002428,云南锗业,突破,低,,1.02,90.25,90.78,90.27
000977,浪潮信息,长影线,低,,0.77,68.82,68.42,68.76
600150,中国船舶,跌破|长影线,低,,0.95,38.98,38.5,38.16
603618,杭电股份,长影线,低,,0.85,41.47,40.38,41.04
600522,中天科技,长影线,低,,0.93,33.9,33.39,34.53
300394,天孚通信,跌破|长影线,低,,0.82,256.96,255.53,257.38
603083,剑桥科技,跌破,低,,0.62,218.88,217.69,216.4
