代码,名称,触发标签,优先级,所属板块及涨幅排名,量比,收盘价,次日开盘表现,次日收盘表现
300207,欣旺达,放量|涨异动|突破|大阳,高,N/A,1.81,19.81,19.76,20.23
600031,三一重工,放量|跌异动|大阴,高,N/A,3.1,18.18,18.18,18.07
002396,星网锐捷,放量|涨异动|突破|大阳,高,N/A,1.65,38.83,37.65,38.2
000981,山子高科,放量|跌异动|跌破|大阴|长影线,高,N/A,1.7,2.74,2.74,3.01
688012,中微公司,放量|涨异动|突破,高,N/A,1.62,352.6,351.0,351.23
600309,万华化学,放量|跌异动|长影线,高,N/A,1.67,70.78,70.0,70.33
688432,有研硅,涨异动|突破|大阳,中,N/A,1.11,54.06,57.0,55.0
300548,长芯博创,涨异动|突破|大阳,中,N/A,1.52,233.47,233.63,231.39
002491,通鼎互联,涨异动|大阳,中,N/A,1.58,24.45,24.48,23.67
002281,光迅科技,涨异动|突破|大阳,中,N/A,1.44,185.21,188.0,191.22
688361,中科飞测,涨异动|突破,中,N/A,1.55,338.0,344.76,358.71
601208,东材科技,涨异动|大阳,中,N/A,1.36,54.31,54.31,52.3
688313,仕佳光子,涨异动|突破,中,N/A,1.43,160.78,160.8,160.6
600206,有研新材,涨异动|突破|大阳,中,N/A,1.06,51.63,53.0,50.55
600105,永鼎股份,涨异动|突破|大阳,中,N/A,1.04,45.22,46.01,45.14
600667,太极实业,涨异动|突破|大阳|炸板,中,N/A,1.35,20.23,19.88,20.57
000021,深科技,涨异动|突破|大阳,中,N/A,1.34,36.2,35.8,35.51
688008,澜起科技,涨异动|突破,中,N/A,1.37,199.89,197.94,194.33
600330,天通股份,涨异动|大阳,中,N/A,1.35,30.85,30.8,29.66
300502,新易盛,涨异动|突破,中,N/A,1.2,423.69,421.0,424.34
300570,太辰光,涨异动|突破,中,N/A,1.24,206.39,207.06,215.98
600498,烽火通信,涨异动|突破,中,N/A,1.43,42.28,42.0,43.42
002428,云南锗业,涨异动|突破,中,N/A,1.49,94.59,96.0,92.94
688981,中芯国际,涨异动|突破,中,N/A,1.34,120.9,119.5,118.62
688072,拓荆科技,涨异动|突破,中,N/A,1.45,679.54,674.99,694.0
300750,宁德时代,放量|跌异动,中,N/A,1.88,305.48,306.0,304.3
000988,华工科技,涨异动|突破|大阳,中,N/A,1.09,105.98,106.93,105.78
002371,北方华创,涨异动|突破,中,N/A,1.57,662.89,662.0,665.5
002579,中京电子,涨异动|大阳,中,N/A,1.05,19.65,19.64,20.48
000823,超声电子,涨异动|大阳,中,N/A,1.14,25.12,24.39,24.22
300620,光库科技,涨异动|突破,中,N/A,1.21,295.81,293.11,294.49
600584,长电科技,涨异动|突破,中,N/A,1.4,69.55,69.0,67.75
688041,海光信息,涨异动|突破,中,N/A,1.2,235.09,233.0,232.0
600487,亨通光电,涨异动|突破,中,N/A,1.16,65.4,65.4,68.49
688347,华虹宏力,涨异动|突破,中,N/A,1.22,224.08,221.2,220.9
603256,宏和科技,涨异动|长影线,中,N/A,1.44,143.28,143.9,145.18
002384,东山精密,涨异动|突破|大阳,中,N/A,1.04,192.0,192.0,193.53
300308,中际旭创,涨异动|突破,中,N/A,1.01,907.8,900.3,896.0
300394,天孚通信,涨异动|突破,中,N/A,1.05,268.99,268.54,277.65
002156,通富微电,涨异动|突破,中,N/A,1.39,59.21,58.8,58.31
688525,佰维存储,涨异动|突破,中,N/A,1.19,213.63,212.01,208.69
000725,京东方A,涨异动|突破,中,N/A,1.28,5.45,5.42,5.75
000938,紫光股份,涨异动|突破,中,N/A,1.27,33.98,33.6,32.8
688498,源杰科技,涨异动|突破,中,N/A,1.09,1750.94,1755.0,1784.66
600601,方正科技,涨异动|突破,中,N/A,0.97,15.18,15.15,14.61
000977,浪潮信息,涨异动|突破,中,N/A,1.21,71.15,70.46,69.81
600664,哈药股份,涨异动|突破|长影线,中,N/A,1.21,7.36,7.36,7.42
001309,德明利,涨异动|突破,中,N/A,1.04,401.0,397.25,396.93
002185,华天科技,涨异动|突破,中,N/A,1.28,16.85,16.68,16.39
688766,普冉股份,涨异动|突破,中,N/A,1.12,398.84,393.0,390.7
603083,剑桥科技,涨异动|突破,中,N/A,1.01,223.63,225.0,219.03
300857,协创数据,涨异动|突破,中,N/A,0.89,258.98,263.0,266.98
603986,兆易创新,涨异动|突破,中,N/A,1.01,373.14,370.06,369.88
300475,香农芯创,涨异动|突破,中,N/A,0.99,166.07,164.0,164.03
688521,芯原股份,涨异动|突破|长影线,中,N/A,0.96,189.82,191.72,196.1
002585,双星新材,放量|长影线,中,N/A,2.05,12.17,11.74,11.69
600110,诺德股份,放量|长影线,中,N/A,1.71,12.19,12.07,11.87
688048,长光华芯,涨异动,低,N/A,1.28,332.19,330.0,328.09
688256,寒武纪,涨异动,低,N/A,1.36,1136.01,1130.0,1105.99
688120,华海清科,涨异动,低,N/A,1.45,266.47,266.0,265.0
